IdDetalleOrden,IdOrden,IdServicio,Cantidad,Subtotal
1,59,1,1,76
2,86,4,1,137
3,45,5,3,288
4,4,3,1,122
5,26,8,1,62
6,78,6,1,72
7,42,3,3,381
8,67,2,2,92
9,41,6,1,134
10,20,5,1,106
11,40,5,2,280
12,21,4,2,190
13,67,2,1,114
14,27,1,1,99
15,79,5,1,64
16,31,8,2,104
17,61,6,3,294
18,37,4,1,44
19,20,7,1,141
20,93,8,1,147
21,94,7,1,115
22,3,7,2,212
23,31,4,2,280
24,93,4,1,60
25,40,5,3,153
26,23,6,1,138
27,32,1,1,63
28,8,4,1,93
29,87,7,2,158
30,40,4,1,142
31,82,7,1,145
32,21,3,2,272
33,4,5,2,180
34,84,7,2,214
35,93,1,3,447
36,80,5,3,300
37,33,1,3,201
38,76,1,3,258
39,37,2,1,115
40,66,1,2,84
41,34,2,1,138
42,24,1,1,147
43,94,6,1,83
44,78,7,2,88
45,88,3,2,86
46,62,2,1,97
47,62,5,3,303
48,30,8,3,420
49,50,6,3,291
50,93,8,1,65
51,56,6,3,387
52,19,7,2,92
53,70,4,3,123
54,1,3,3,327
55,94,6,1,66
56,72,6,2,228
57,46,1,1,116
58,15,3,1,119
59,51,2,3,144
60,29,7,2,102
61,2,2,2,156
62,2,4,2,174
63,69,3,2,138
64,74,2,2,120
65,11,1,3,288
66,72,4,2,272
67,51,2,2,240
68,64,8,1,100
69,19,5,2,196
70,97,6,2,284
71,30,1,1,49
72,69,1,1,50
73,26,8,2,294
74,92,4,3,273
75,23,8,1,101
76,54,5,1,129
77,2,3,1,94
78,92,6,2,184
79,88,4,2,162
80,73,7,1,53
81,88,7,1,74
82,4,1,3,363
83,48,4,1,115
84,94,6,2,110
85,72,8,3,333
86,42,8,2,172
87,87,4,2,296
88,32,6,3,195
89,44,8,1,45
90,34,8,3,186
91,81,1,1,109
92,92,7,3,234
93,76,7,1,61
94,87,5,1,65
95,7,3,1,63
96,83,7,1,112
97,35,2,2,162
98,10,2,1,144
99,76,6,3,249
100,57,3,3,222
101,74,2,1,86
102,32,8,1,149
103,51,1,1,68
104,32,4,2,136
105,92,4,1,96
106,67,8,2,214
107,48,1,3,450
108,22,8,1,72
109,24,5,1,108
110,64,4,2,194
111,71,8,1,67
112,85,1,1,74
113,40,8,3,339
114,11,2,1,119
115,70,1,3,426
116,7,7,2,192
117,29,2,3,309
118,79,1,3,297
119,56,4,2,254
120,54,5,3,423
121,65,2,2,108
122,97,4,3,303
123,74,2,2,266
124,59,7,2,104
125,17,1,3,336
126,85,1,3,270
127,10,2,2,252
128,52,1,3,438
129,90,7,3,294
130,56,6,2,122
131,1,6,3,297
132,93,5,1,52
133,1,8,3,171
134,39,3,2,122
135,47,7,2,186
136,33,7,1,141
137,61,8,2,138
138,27,2,3,243
139,72,7,3,210
140,68,3,3,318
141,53,4,3,306
142,95,7,3,270
143,23,4,3,174
144,67,6,3,192
145,41,3,3,174
146,62,5,2,242
147,18,4,3,381
148,36,6,1,64
149,70,6,1,136
150,53,8,1,149
151,37,1,1,88
152,53,6,1,124
153,74,3,2,120
154,89,3,3,249
155,52,6,2,276
156,4,3,2,80
157,16,3,3,144
158,58,2,1,147
159,94,1,1,121
160,7,2,3,438
161,77,1,2,300
162,76,8,3,225
163,43,6,3,312
164,15,1,2,218
165,81,5,1,126
166,16,3,1,82
167,21,2,2,286
168,49,4,3,162
169,76,7,3,153
170,81,3,3,255
171,32,6,2,194
172,97,8,2,248
173,35,2,1,133
174,2,7,1,105
175,86,7,3,255
176,78,3,1,96
177,58,2,2,150
178,43,8,1,125
179,13,2,1,100
180,67,5,3,141
181,68,2,2,104
182,37,2,2,120
183,97,4,3,141
184,96,6,1,50
185,8,3,2,162
186,47,2,1,142
187,84,7,2,186
188,19,2,2,296
189,81,8,3,393
190,78,1,3,414
191,75,8,1,147
192,31,7,1,116
193,97,2,3,423
194,65,8,1,143
195,81,2,1,104
196,54,3,2,120
197,18,2,2,214
198,83,7,3,135
199,5,7,3,450
200,51,5,3,432
