IdDetalleRepuesto,IdOrden,IdRepuesto,Cantidad,Subtotal
1,59,10,5,120
2,32,5,2,72
3,98,6,3,228
4,4,9,2,54
5,83,4,5,390
6,7,3,5,300
7,15,5,3,114
8,66,9,1,72
9,7,6,3,147
10,95,3,3,120
11,67,5,3,237
12,21,10,2,164
13,56,9,1,41
14,75,4,5,470
15,2,2,4,392
16,39,2,2,100
17,60,8,1,80
18,82,6,5,390
19,37,9,5,255
20,9,1,2,194
21,50,3,4,132
22,94,7,2,190
23,3,7,4,344
24,31,4,4,176
25,22,3,3,156
26,86,2,2,126
27,21,4,1,50
28,24,1,5,250
29,28,7,4,320
30,40,5,5,255
31,5,7,1,40
32,83,3,3,69
33,39,6,4,296
34,42,9,1,88
35,80,9,3,285
36,61,5,5,110
37,68,4,5,125
38,74,6,3,102
39,5,10,5,455
40,74,1,3,66
41,34,2,2,86
42,76,10,1,22
43,94,6,2,126
44,78,7,4,96
45,88,3,3,69
46,62,2,2,154
47,62,5,4,196
48,58,10,4,248
49,72,8,4,92
50,26,7,3,114
51,51,7,1,89
52,100,4,5,105
53,1,3,5,305
54,16,4,5,315
55,56,10,3,63
56,27,10,1,37
57,22,10,4,372
58,16,2,2,148
59,63,2,1,28
60,38,5,1,48
61,62,6,5,180
62,56,4,5,145
63,50,3,1,96
64,5,10,4,364
65,31,8,4,348
66,77,2,3,300
67,64,10,4,200
68,61,3,5,290
69,64,8,3,219
70,30,10,1,35
71,10,9,1,34
72,11,4,4,232
73,92,4,5,355
74,23,8,2,162
75,54,5,1,21
76,22,2,4,268
77,61,7,5,225
78,43,6,5,345
79,17,2,4,120
80,35,1,1,67
81,99,4,2,190
82,94,6,4,140
83,72,9,4,368
84,72,6,4,324
85,47,4,4,204
86,44,4,3,237
87,23,1,3,228
88,68,3,5,135
89,19,9,5,350
90,65,5,5,350
91,19,3,5,295
92,4,4,1,40
93,24,3,4,160
94,73,5,1,70
95,42,2,1,21
96,76,6,3,228
97,22,10,3,279
98,13,2,3,153
99,59,1,4,360
100,84,1,2,96
101,32,4,4,192
102,92,9,2,52
103,57,9,4,308
104,68,6,1,41
105,57,3,3,129
106,39,2,5,415
107,85,4,3,231
108,71,9,5,490
109,60,4,2,54
110,26,5,3,249
111,90,10,1,31
112,30,10,5,100
113,84,1,4,212
114,57,4,1,93
115,64,10,1,90
116,60,7,2,112
117,88,7,5,295
118,72,9,1,82
119,15,4,4,372
120,13,5,4,296
121,41,2,2,46
122,73,10,1,70
123,10,2,4,284
124,4,7,4,300
125,80,6,4,164
126,1,6,5,395
127,93,5,2,64
128,1,8,5,185
129,39,3,4,164
130,47,7,3,219
131,33,7,2,160
132,57,5,2,92
133,13,9,3,273
134,80,10,4,340
135,31,9,2,172
136,53,4,5,410
137,95,7,5,350
138,23,10,2,76
139,67,6,2,120
140,17,10,2,162
141,69,9,3,234
142,82,3,2,188
143,88,5,3,99
144,25,9,3,63
145,97,7,4,96
146,37,1,1,68
147,53,6,2,186
148,91,3,4,160
149,89,3,5,315
150,52,6,4,92
151,21,7,1,35
152,22,10,1,77
153,72,2,1,27
154,23,1,1,96
155,6,7,5,395
156,78,5,3,195
157,73,9,1,27
158,49,9,5,475
159,35,1,1,37
160,1,6,2,62
161,49,7,2,68
162,76,7,5,155
163,81,9,5,195
164,89,6,2,132
165,40,8,4,212
166,85,5,1,37
167,94,1,4,120
168,66,7,5,325
169,78,3,1,76
170,58,9,1,59
171,36,6,4,88
172,86,2,1,45
173,61,9,3,252
174,8,9,1,52
175,13,5,5,160
176,98,7,2,88
177,75,1,3,105
178,11,1,2,128
179,42,6,5,175
180,27,7,3,219
181,19,2,3,300
182,64,10,1,87
183,99,10,4,144
184,31,9,5,425
185,82,10,4,100
186,77,2,5,415
187,2,10,1,22
188,65,7,5,180
189,53,3,2,62
190,60,9,4,100
191,5,7,5,350
192,99,5,5,145
193,52,1,5,195
194,16,9,4,356
195,92,9,5,150
196,72,10,5,130
197,34,10,1,82
198,68,6,4,284
199,47,10,1,21
200,38,3,3,213
