IdEquipo,Tipo,Marca,Modelo,Serie,IdCliente
1,PC,Lenovo,PC790,SN93325,26
2,Celular,Apple,CEL273,SN13536,106
3,Tablet,Dell,TAB205,SN26394,82
4,Tablet,Apple,TAB560,SN63999,54
5,PC,Lenovo,PC740,SN99301,86
6,Celular,Samsung,CEL194,SN92271,133
7,Tablet,Samsung,TAB183,SN37045,147
8,PC,Dell,PC306,SN22389,22
9,PC,Lenovo,PC810,SN47155,79
10,Celular,HP,CEL738,SN25426,6
11,Celular,Canon,CEL339,SN38792,147
12,PC,Dell,PC113,SN94522,159
13,Celular,Lenovo,CEL240,SN94787,86
14,Impresora,Canon,IMP558,SN30055,164
15,Celular,Apple,CEL952,SN66741,41
16,PC,Samsung,PC823,SN25864,177
17,PC,Apple,PC538,SN55190,58
18,Laptop,Apple,LAP153,SN78090,50
19,Tablet,HP,TAB276,SN20616,30
20,Celular,Dell,CEL929,SN95388,81
21,Tablet,Samsung,TAB643,SN17125,171
22,PC,Dell,PC566,SN83043,86
23,Laptop,Dell,LAP687,SN24234,24
24,Celular,Lenovo,CEL758,SN21261,170
25,Celular,Canon,CEL145,SN13557,50
26,PC,Apple,PC618,SN11592,41
27,Laptop,Canon,LAP862,SN79114,35
28,Celular,HP,CEL529,SN46050,28
29,Tablet,Dell,TAB323,SN41431,51
30,PC,Dell,PC408,SN26433,143
31,Tablet,HP,TAB763,SN20845,115
32,Tablet,Dell,TAB283,SN34715,163
33,Celular,Samsung,CEL967,SN22451,76
34,PC,Lenovo,PC737,SN49088,37
35,Laptop,Dell,LAP382,SN18099,100
36,Celular,Canon,CEL389,SN61891,119
37,Laptop,Dell,LAP691,SN71511,55
38,Laptop,Canon,LAP849,SN79372,18
39,Impresora,Apple,IMP448,SN12034,46
40,Celular,Lenovo,CEL723,SN23092,1
41,Laptop,HP,LAP867,SN37127,159
42,Tablet,Canon,TAB715,SN20250,150
43,Celular,Lenovo,CEL553,SN16537,168
44,PC,Apple,PC484,SN83725,102
45,Tablet,Lenovo,TAB103,SN70146,24
46,Impresora,Samsung,IMP426,SN40170,199
47,PC,Lenovo,PC561,SN54125,98
48,PC,Apple,PC153,SN55638,35
49,Laptop,Canon,LAP939,SN58150,6
50,Laptop,Samsung,LAP345,SN81020,37
51,Celular,Canon,CEL106,SN28314,175
52,Celular,Lenovo,CEL643,SN29222,5
53,PC,Samsung,PC639,SN68847,64
54,Tablet,Samsung,TAB807,SN80262,180
55,Celular,Apple,CEL723,SN95065,184
56,Celular,Apple,CEL882,SN20904,168
57,Tablet,Lenovo,TAB460,SN26468,120
58,PC,Samsung,PC232,SN56337,84
59,Impresora,HP,IMP754,SN99455,176
60,Impresora,Dell,IMP864,SN45146,166
61,Laptop,Apple,LAP294,SN58557,101
62,PC,Apple,PC619,SN50245,121
63,PC,HP,PC231,SN46003,7
64,Impresora,Canon,IMP178,SN32391,87
65,Celular,HP,CEL897,SN96708,82
66,Laptop,HP,LAP370,SN43965,25
67,PC,Lenovo,PC177,SN74917,11
68,Impresora,Dell,IMP587,SN71936,101
69,Impresora,Canon,IMP786,SN22487,168
70,PC,Canon,PC418,SN75840,141
71,Tablet,HP,TAB566,SN68069,176
72,Impresora,Samsung,IMP953,SN30090,46
73,PC,HP,PC396,SN25427,49
74,Tablet,Samsung,TAB579,SN18916,197
75,Celular,Canon,CEL647,SN25015,56
76,PC,Canon,PC412,SN37138,130
77,Celular,Samsung,CEL974,SN72041,25
78,Celular,Apple,CEL350,SN34087,144
79,Impresora,Lenovo,IMP933,SN48315,39
80,Laptop,Lenovo,LAP921,SN59505,38
81,Celular,Apple,CEL992,SN26866,131
82,Laptop,HP,LAP709,SN76085,134
83,Laptop,Dell,LAP985,SN46701,107
84,Impresora,Dell,IMP646,SN35168,155
85,Tablet,Samsung,TAB517,SN15692,184
86,PC,HP,PC945,SN22528,128
87,Impresora,Apple,IMP867,SN92341,77
88,PC,HP,PC381,SN40546,31
89,Laptop,Apple,LAP808,SN80233,152
90,Tablet,Samsung,TAB443,SN41154,139
91,PC,Apple,PC157,SN69155,23
92,Impresora,Dell,IMP392,SN14038,66
93,Celular,Lenovo,CEL414,SN79899,103
94,Laptop,Canon,LAP986,SN57648,4
95,Laptop,Apple,LAP858,SN33355,41
96,PC,Canon,PC173,SN67851,108
97,Laptop,Dell,LAP716,SN38546,100
98,Impresora,Apple,IMP923,SN70581,24
99,Celular,Samsung,CEL814,SN96633,200
100,Impresora,Lenovo,IMP436,SN23731,115
